date,sio,signal
20250625,-51.79,과매도 ⚠
20250626,-66.79,과매도 ⚠
20250627,-59.52,과매도 ⚠
20250630,61.3,과매수 ⚠
20250701,67.7,과매수 ⚠
20250702,-58.28,과매도 ⚠
20250703,61.74,과매수 ⚠
20250704,-86.45,패닉 셀링 🔵
20250707,68.16,과매수 ⚠
20250708,82.82,패닉 바잉 🔴
20250709,72.41,과매수 ⚠
20250710,82.02,패닉 바잉 🔴
20250711,-60.41,과매도 ⚠
20250714,68.54,과매수 ⚠
20250715,58.09,과매수 ⚠
20250716,-69.16,과매도 ⚠
20250717,56.32,과매수 ⚠
20250718,-58.53,과매도 ⚠
20250721,58.63,과매수 ⚠
20250722,-74.96,과매도 ⚠
20250723,62.77,과매수 ⚠
20250724,-50.86,과매도 ⚠
20250725,56.11,과매수 ⚠
20250728,-53.8,과매도 ⚠
20250729,73.32,과매수 ⚠
20250730,61.2,과매수 ⚠
20250731,51.5,과매수 ⚠
20250801,-87.72,패닉 셀링 🔵
20250804,74.27,과매수 ⚠
20250805,91.17,패닉 바잉 🔴
20250806,64.28,과매수 ⚠
20250807,64.4,과매수 ⚠
20250808,-61.79,과매도 ⚠
20250811,-58.84,과매도 ⚠
20250812,-69.55,과매도 ⚠
20250813,64.75,과매수 ⚠
20250814,-50.86,과매도 ⚠
20250818,-75.45,과매도 ⚠
20250819,-73.16,과매도 ⚠
20250820,-72.72,과매도 ⚠
20250821,72.64,과매수 ⚠
20250822,74.44,과매수 ⚠
20250825,87.82,패닉 바잉 🔴
20250826,-59.81,과매도 ⚠
20250827,55.34,과매수 ⚠
20250828,64.64,과매수 ⚠
20250829,-53.56,과매도 ⚠
20250901,-68.5,과매도 ⚠
20250902,62.76,과매수 ⚠
20250903,66.41,과매수 ⚠
20250904,72.99,과매수 ⚠
20250905,59.67,과매수 ⚠
20250908,67.09,과매수 ⚠
20250909,73.91,과매수 ⚠
20250910,88.08,패닉 바잉 🔴
20250911,77.22,과매수 ⚠
20250912,76.68,과매수 ⚠
20250915,64.17,과매수 ⚠
20250916,61.91,과매수 ⚠
20250917,-70.87,과매도 ⚠
20250918,72.48,과매수 ⚠
20250919,-62.02,과매도 ⚠
20250922,-51.87,과매도 ⚠
20250923,50.62,과매수 ⚠
20250924,-64.72,과매도 ⚠
20250925,-57.12,과매도 ⚠
20250926,-84.89,패닉 셀링 🔵
20250929,84.74,패닉 바잉 🔴
20250930,-55.71,과매도 ⚠
20251001,66.85,과매수 ⚠
20251002,75.33,과매수 ⚠
20251010,59.96,과매수 ⚠
20251013,-59.51,과매도 ⚠
20251014,-61.37,과매도 ⚠
20251015,95.1,패닉 바잉 🔴
20251016,71.63,과매수 ⚠
20251017,51.29,과매수 ⚠
20251020,90.24,패닉 바잉 🔴
20251021,52.83,과매수 ⚠
20251022,87.33,패닉 바잉 🔴
20251023,-57.49,과매도 ⚠
20251024,82.72,패닉 바잉 🔴
20251027,84.75,패닉 바잉 🔴
20251028,-50.8,과매도 ⚠
20251029,75.28,과매수 ⚠
20251030,-50.82,과매도 ⚠
20251031,58.43,과매수 ⚠
20251103,80.5,패닉 바잉 🔴
20251104,-72.99,과매도 ⚠
20251105,-89.2,패닉 셀링 🔵
20251106,61.69,과매수 ⚠
20251107,-86.79,패닉 셀링 🔵
20251110,94.11,패닉 바잉 🔴
20251111,62.13,과매수 ⚠
20251112,70.73,과매수 ⚠
20251113,62.05,과매수 ⚠
20251114,-86.91,패닉 셀링 🔵
20251117,75.99,과매수 ⚠
20251118,-93.82,패닉 셀링 🔵
20251119,-61.92,과매도 ⚠
20251120,90.02,패닉 바잉 🔴
20251121,-90.96,패닉 셀링 🔵
20251124,-68.23,과매도 ⚠
20251125,-55.05,과매도 ⚠
20251126,96.98,패닉 바잉 🔴
20251127,69.46,과매수 ⚠
20251128,-68.85,과매도 ⚠
20251201,-59.42,과매도 ⚠
20251202,84.31,패닉 바잉 🔴
20251203,83.98,패닉 바잉 🔴
20251204,-54.1,과매도 ⚠
20251205,83.27,패닉 바잉 🔴
20251208,62.68,과매수 ⚠
20251209,57.15,과매수 ⚠
20251210,-64.03,과매도 ⚠
20251211,55.3,과매수 ⚠
20251212,78.89,과매수 ⚠
20251215,-64.98,과매도 ⚠
20251216,-79.33,과매도 ⚠
20251217,64.03,과매수 ⚠
20251218,-77.38,과매도 ⚠
20251219,57.61,과매수 ⚠
20251222,76.33,과매수 ⚠
20251223,52.96,과매수 ⚠
20251224,-59.25,과매도 ⚠
20251226,-58.35,과매도 ⚠
20251229,77.68,과매수 ⚠
20251230,-54.58,과매도 ⚠
20260102,64.67,과매수 ⚠
20260105,83.42,패닉 바잉 🔴
20260106,68.13,과매수 ⚠
20260107,57.02,과매수 ⚠
20260108,-52.52,과매도 ⚠
20260109,70.38,과매수 ⚠
20260112,71.99,과매수 ⚠
20260113,75.37,과매수 ⚠
20260114,71.45,과매수 ⚠
20260115,79.82,과매수 ⚠
20260116,60.36,과매수 ⚠
